Date,Symbol,Open,High,Low,Close,Volume
2019/12/5,2594,45.046,45.26,44.741,44.883,6286453
2019/12/6,2594,44.893,44.985,44.302,44.547,6814573
2019/12/9,2594,44.547,44.639,44.099,44.211,5825985
2019/12/10,2594,44.364,44.364,44.027,44.262,4217317
2019/12/11,2594,44.19,45.077,44.017,44.965,8887329
2019/12/12,2594,44.934,44.934,44.058,44.313,8092275
2019/12/13,2594,44.628,44.73,44.058,44.2,14160083
2019/12/16,2594,44.262,44.995,44.058,44.975,12526348
2019/12/17,2594,45.016,46.422,45.006,45.902,19047175
2019/12/18,2594,45.943,45.943,45.383,45.556,11322913
2019/12/19,2594,45.556,45.862,45.107,45.831,10116347
2019/12/20,2594,46.096,48.185,45.913,47.513,28983802
2019/12/23,2594,47.207,47.309,46.341,46.412,13277509
2019/12/24,2594,46.626,47.747,46.626,47.676,15660222
2019/12/25,2594,47.951,49.062,47.401,47.747,19183257
2019/12/26,2594,47.095,48.155,47.023,47.299,11034572
2019/12/27,2594,47.085,47.747,46.881,46.881,10962127
2019/12/30,2594,47.238,48.715,46.901,48.552,19647712
2019/12/31,2594,48.42,49.021,47.798,48.583,13216616
2020/1/1,2594,48.583,48.583,48.583,48.583,0
2020/1/2,2594,48.603,49.398,48.42,49.092,15934570
2020/1/3,2594,49.123,49.928,48.593,48.96,12993607
2020/1/6,2594,48.297,50.132,48.094,49.204,16987138
2020/1/7,2594,49.235,49.429,48.685,48.97,9340058
2020/1/8,2594,48.46,49.276,48.053,48.185,11097445
2020/1/9,2594,48.664,49.123,48.287,48.562,8921700
2020/1/10,2594,48.573,48.573,47.502,47.818,10929463
2020/1/13,2594,52.598,52.598,51.477,52.598,51882759
2020/1/14,2594,56.053,57.062,54.015,54.463,61497596
2020/1/15,2594,55.044,55.798,53.281,54.331,29870523
2020/1/16,2594,54.514,55.584,52.771,55.126,33573707
2020/1/17,2594,54.891,60.639,54.219,59.06,53060038
2020/1/20,2594,58.397,61.047,57.582,59.885,30077562
2020/1/21,2594,58.825,58.835,57.633,57.806,20383657
2020/1/22,2594,57.582,61.658,57.174,60.405,32797995
2020/1/23,2594,59.1,63.065,58.611,60.976,29158496
2020/1/24,2594,60.976,60.976,60.976,60.976,0
2020/1/27,2594,60.976,60.976,60.976,60.976,0
2020/1/28,2594,60.976,60.976,60.976,60.976,0
2020/1/29,2594,60.976,60.976,60.976,60.976,0
2020/1/30,2594,60.976,60.976,60.976,60.976,0
2020/1/31,2594,60.976,60.976,60.976,60.976,0
2020/2/3,2594,54.881,55.523,54.881,54.881,10039800
2020/2/4,2594,55.034,58.601,55.034,57.439,36777530
2020/2/5,2594,58.805,63.187,58.081,61.974,44623025
2020/2/6,2594,59.569,62.015,59.518,61.913,30113181
2020/2/7,2594,61.903,61.903,57.745,59.009,32128159
2020/2/10,2594,60.334,64.573,59.977,62.097,35279646
2020/2/11,2594,61.149,61.271,59.396,60.17,19617574
2020/2/12,2594,60.17,61.76,59.467,60.323,19745556
2020/2/13,2594,59.62,61.281,58.601,58.652,23694703
2020/2/14,2594,58.662,59.009,57.521,57.99,21117383
2020/2/17,2594,58,59.681,58,59.6,20988900
2020/2/18,2594,58.907,61.149,58.876,60.609,22836532
2020/2/19,2594,65.704,65.715,62.841,63.095,43747653
2020/2/20,2594,64.38,69.404,64.318,69.404,64939094
2020/2/21,2594,68.283,69.577,66.938,68.792,45518916
2020/2/24,2594,66.673,68.426,66.204,67.468,35796879
2020/2/25,2594,65.633,73.572,65.399,72.207,40743409
2020/2/26,2594,71.116,77.251,70.321,73.073,52276832
2020/2/27,2594,73.053,74.551,69.384,71.391,27269996
2020/2/28,2594,67.936,70.311,66.194,66.622,33825352
2020/3/2,2594,66.856,68.517,65.225,68.13,22564321
2020/3/3,2594,71.137,71.544,68.752,69.17,27425292
2020/3/4,2594,68.232,69.098,65.959,67.855,18093253
2020/3/5,2594,68.303,68.915,66.754,68.089,17000367
2020/3/6,2594,66.754,68.843,66.581,66.612,14720960
2020/3/9,2594,64.502,64.502,60.313,60.588,29247882
2020/3/10,2594,58.703,62.678,58.428,61.322,26680523
2020/3/11,2594,61.934,62.321,59.722,59.875,22221247
2020/3/12,2594,58.407,58.764,56.97,58.122,23238254
2020/3/13,2594,54.83,57.582,53.352,56.726,21319807
2020/3/16,2594,57.674,58.428,54.912,54.912,23877348
2020/3/17,2594,54.912,56.012,52.873,54.056,18091852
2020/3/18,2594,54.616,55.717,53.016,53.087,17268432
2020/3/19,2594,53.108,53.526,50.835,52.343,19445000
2020/3/20,2594,53.301,53.801,52.384,53.526,14829620
2020/3/23,2594,51.212,51.773,48.807,49.072,24273976
2020/3/24,2594,50.203,50.835,48.297,50.682,20502711
2020/3/25,2594,52.537,53.811,52.017,53.25,28978742
2020/3/26,2594,53.505,56.237,52.598,55.309,29662084
2020/3/27,2594,56.461,57.123,55.482,55.829,22997249
2020/3/30,2594,56.053,58.886,55.921,57.307,32893740
2020/3/31,2594,57.847,61.139,56.512,61.118,35017444
2020/4/1,2594,61.047,61.822,58.112,58.214,36556547
2020/4/2,2594,57.786,57.786,55.849,57.674,23384169
2020/4/3,2594,57.674,57.674,55.961,56.053,16918966
2020/4/6,2594,56.053,56.053,56.053,56.053,0
2020/4/7,2594,57.521,58.01,56.665,57.388,18911589
2020/4/8,2594,56.868,56.868,56.094,56.379,12954327
2020/4/9,2594,56.879,57.623,56.614,56.716,13333832
2020/4/10,2594,57.358,57.358,55.187,55.615,13185472
2020/4/13,2594,55.778,57.011,55.778,56.868,10255956
2020/4/14,2594,56.868,59.111,56.44,59.029,23386305
2020/4/15,2594,60.497,63.585,59.498,61.292,30622736
2020/4/16,2594,61.251,62.474,60.181,61.159,16525891
2020/4/17,2594,61.76,62.148,59.804,59.926,15649005
2020/4/20,2594,60.537,60.537,59.274,59.987,10747360
2020/4/21,2594,59.62,60.823,58.907,60.507,14714834
2020/4/22,2594,59.518,61.149,58.988,60.568,12145802
2020/4/23,2594,61.139,61.709,59.151,59.365,11602798
2020/4/24,2594,59.793,61.648,59.62,59.855,13594893
2020/4/27,2594,60.15,60.221,57.969,58.071,13826532
2020/4/28,2594,58.091,58.693,55.809,58.071,12865794
2020/4/29,2594,59.314,60.588,58.662,59.111,16512556
2020/4/30,2594,59.946,61.74,59.63,61.108,21887625
2020/5/1,2594,61.108,61.108,61.108,61.108,0
2020/5/4,2594,61.108,61.108,61.108,61.108,0
2020/5/5,2594,61.108,61.108,61.108,61.108,0
2020/5/6,2594,60.537,63.697,60.232,63.371,23190623
2020/5/7,2594,63.36,63.36,61.128,61.241,22511802
2020/5/8,2594,61.261,61.658,60.435,60.925,17147173
2020/5/11,2594,60.425,60.802,59.223,60.007,19071621
2020/5/12,2594,60.018,60.272,59.314,60.262,10401966
2020/5/13,2594,60.262,60.894,59.62,60.12,11111516
2020/5/14,2594,60.028,60.028,58.652,58.795,11836313
2020/5/15,2594,58.897,59.702,58.397,59.07,10277106
2020/5/18,2594,58.499,59.518,57.48,58.275,10474339
2020/5/19,2594,59.111,59.722,58.856,59.335,9404190
2020/5/20,2594,59.824,61.455,59.793,60.14,16470785
2020/5/21,2594,60.242,60.507,58.102,58.244,12096788
2020/5/22,2594,58.254,58.774,56.573,57.103,9234961
2020/5/25,2594,57.103,57.633,56.369,57.602,5969703
2020/5/26,2594,57.888,59.498,57.888,59.416,9854368
2020/5/27,2594,60.741,61.098,58.163,58.397,11361742
2020/5/28,2594,58.448,59.345,57.48,58.581,8630023
2020/5/29,2594,58.214,59.131,57.898,58.509,6803639
2020/6/1,2594,58.856,60.833,58.54,60.466,16106781
2020/6/2,2594,60.711,63.371,60.007,62.168,20479610
2020/6/3,2594,61.954,62.219,60.619,61.078,14635695
2020/6/4,2594,61.638,62.372,60.853,61.261,10574332
2020/6/5,2594,62.168,64.492,61.485,64.41,26545122
2020/6/8,2594,64.206,65.052,63.646,63.992,17244111
2020/6/9,2594,64.206,65.643,62.871,63.167,20443053
2020/6/10,2594,63.452,63.615,61.842,62.219,18619403
2020/6/11,2594,63.055,65.429,62.688,64.043,28023252
2020/6/12,2594,62.576,63.116,61.791,62.657,17549710
2020/6/15,2594,63.697,65.103,62.423,63.697,19574028
2020/6/16,2594,65.022,65.694,64.339,65.327,21411572
2020/6/17,2594,65.225,65.338,63.554,65.338,14437818
2020/6/18,2594,65.022,68.038,64.145,68.018,27903336
2020/6/19,2594,67.967,69.995,67.57,68.273,22061887
2020/6/22,2594,67.875,70.097,67.559,69.302,19625480
2020/6/23,2594,68.864,73.47,68.283,72.39,26037491
2020/6/24,2594,72.461,74.459,72.115,73.073,19668098
2020/6/25,2594,73.073,73.073,73.073,73.073,0
2020/6/26,2594,73.073,73.073,73.073,73.073,0
2020/6/29,2594,72.869,73.817,71.646,71.952,17337630
2020/6/30,2594,72.777,74.245,72.227,73.175,16983101
2020/7/1,2594,74.612,76.895,72.39,73.858,23509322
2020/7/2,2594,74.021,76.039,73.175,73.521,21407418
2020/7/3,2594,74.704,80.869,74.632,80.869,45538812
2020/7/6,2594,80.849,83.152,78.892,82.449,46122416
2020/7/7,2594,86.383,90.195,84.589,84.589,46670587
2020/7/8,2594,83.509,85.894,83.427,84.334,31915588
2020/7/9,2594,84.334,87.952,83.02,86.077,32797352
2020/7/10,2594,86.087,94.129,84.64,90.704,39602931
2020/7/13,2594,94.373,99.775,94.057,99.775,57987128
2020/7/14,2594,99.775,99.785,92.314,98.399,53638869
2020/7/15,2594,98.857,99.153,94.465,96.309,38869586
2020/7/16,2594,96.208,97.329,86.679,86.679,56046663
2020/7/17,2594,84.61,86.994,81.603,83.152,43096874
2020/7/20,2594,85.303,91.01,83.173,88.839,43173031
2020/7/21,2594,91.621,93.079,89.359,89.777,31722234
2020/7/22,2594,87.647,91.193,87.137,88.86,26954483
2020/7/23,2594,87.708,90.704,87.219,90.694,32728656
2020/7/24,2594,89.461,89.828,84.08,84.589,38817374
2020/7/27,2594,85.099,86.831,83.876,85.119,20882846
2020/7/28,2594,87.626,88.319,84.589,85.517,21644067
2020/7/29,2594,84.905,89.175,84.1,88.595,28797550
2020/7/30,2594,88.686,89.308,85.914,86.628,22449269
2020/7/31,2594,86.587,88.319,85.058,87.025,25812289
2020/8/3,2594,87.045,88.156,86.016,87.82,28030360
2020/8/4,2594,88.615,92.742,88.544,90.704,38395587
2020/8/5,2594,90.704,90.704,88.238,89.838,19022684
2020/8/6,2594,90.511,91.316,88.666,90.429,20533266
2020/8/7,2594,89.277,90.46,85.415,87.015,24597416
2020/8/10,2594,85.394,85.965,81.532,83.55,33653884
2020/8/11,2594,83.468,84.793,82.5,82.551,19417260
2020/8/12,2594,82.734,83.55,79.952,83.55,22097173
2020/8/13,2594,85.099,85.405,83.213,83.366,13582779
2020/8/14,2594,83.672,84.171,81.532,83.499,12062031
2020/8/17,2594,83.774,84.824,82.887,84.508,15103194
